id,name,sector,fund_type,capital,structure,financial_score,operational_score,impact_score,composite_score,status,sdg_primary,geography,vintage_year,stage,investee_type,notes
1,Runway Community Capital,Financial Inclusion / CDFI,CDFI Loan Fund,$750K,Recoverable Grant,6,8,9,23,amber,"SDG 8, SDG 10",Southeast US,2023,Growth,Nonprofit,Strong community reach and loan volume growth; financial runway tightening due to delayed grant disbursements
2,Clearpath Climate Ventures,Climate / Clean Energy,Climate VC (Seed),$500K,PRI,8,7,8,23,green,"SDG 7, SDG 13",Global (HQ: Boston MA),2022,Early,For-Profit,Performing well across all pillars; 3 portfolio company exits anticipated in next 18 months
3,National Affordable Housing Trust,Affordable Housing,Real Assets Fund,$1.5M,Recoverable Grant,5,6,9,20,amber,"SDG 11, SDG 10",Midwest US,2021,Mature,Nonprofit,Strong housing units delivered but construction cost overruns and permitting delays impacting financial score
4,Springboard EdTech Fund II,Education Technology,Impact VC (Seed/Series A),$400K,PRI,7,8,7,22,green,"SDG 4, SDG 10",Latin America,2023,Growth,For-Profit,Steady second-vintage performer; expanding into Mexico and Colombia
5,OFN Community Credit Facility,SME Lending / CDFI,CDFI Credit Facility,$650K,PRI,9,8,7,24,green,"SDG 8, SDG 9",National (US),2022,Mature,Nonprofit,Top financial performer; OFN-affiliated lender with strong underwriting discipline
6,Clean Water Alliance Fund,WASH / Water Access,Infrastructure Grant Fund,$350K,Recoverable Grant,6,7,9,22,green,"SDG 6, SDG 3",Sub-Saharan Africa,2022,Growth,Nonprofit,Impact metrics exceeding targets; operational monitoring required around procurement
7,Beneficial Returns Agri-Finance,Agricultural Finance,Private Credit Fund,$275K,PRI,8,9,8,25,green,"SDG 2, SDG 8",East Africa,2021,Mature,For-Profit,Strongest operational score in portfolio; smallholder farmer loan repayment rates above 95%
8,CommonHealth Community Fund,Community Health,Community Development Fund,$175K,Recoverable Grant,7,7,8,22,green,"SDG 3, SDG 10",Appalachia (US),2023,Growth,Nonprofit,Consistent across all pillars; partnered with Federally Qualified Health Center network
9,SunAccess Solar Fund,Clean Energy / Climate,Real Assets (Solar),$900K,PRI,8,7,9,24,green,"SDG 7, SDG 13",Southeast Asia,2022,Growth,For-Profit,Strong climate impact metrics; expanding from Philippines into Vietnam
10,First Gen CDFI Mortgage Fund,Affordable Housing / CDFI,CDFI Mortgage Fund,$2.0M,Recoverable Grant,4,5,9,18,red,"SDG 11, SDG 10",Northeast US,2020,Mature,Nonprofit,Impact is strong — 340 first-gen homeowners served — but financial reserves below covenant and ops team understaffed
11,Climate Smart Ag Credit,Climate / Agri-Finance,Private Credit Fund,$450K,PRI,8,8,9,25,green,"SDG 2, SDG 13",West Africa,2023,Growth,For-Profit,Regenerative agriculture focus; high blended value; co-financed with DFI
12,Urban Workforce Initiative,Workforce Development,Community Development Fund,$300K,Recoverable Grant,7,8,7,22,green,"SDG 8, SDG 10",Chicago IL,2022,Growth,Nonprofit,Strong job placement outcomes; 78% of graduates employed within 90 days
13,Inclusive Fintech Ventures,Financial Inclusion / Fintech,Venture Capital (Seed),$225K,PRI,7,6,8,21,amber,"SDG 8, SDG 10",South & Southeast Asia,2023,Early,For-Profit,Operational capacity building needed; tech team scaling faster than governance structure
14,Equity Health Capital,Rural Healthcare,Private Credit Fund,$600K,Recoverable Grant,6,7,8,21,amber,"SDG 3, SDG 10",Rural US,2021,Growth,Nonprofit,Serving uninsured and Medicaid populations; Medicaid reimbursement delays creating cash flow lag
15,Coastal Resilience Capital,Climate Adaptation / Infrastructure,Real Assets Fund,$1.1M,PRI,8,7,8,23,green,"SDG 11, SDG 13",Gulf Coast & Caribbean,2022,Mature,For-Profit,Leading climate adaptation portfolio; flood mitigation and mangrove restoration across 4 countries
16,Blue Horizon Microfinance,Microfinance / Gender Lens,Microfinance Fund,$320K,Recoverable Grant,7,8,9,24,green,"SDG 5, SDG 8, SDG 10",Central America,2022,Mature,Nonprofit,85% women borrowers; above-benchmark repayment rates; gender lens leader in portfolio
17,Catalytic Housing Partners,Affordable Housing,Real Assets Fund,$1.8M,PRI,7,6,8,21,amber,"SDG 11, SDG 10",Southwest US,2023,Early,For-Profit,Early-stage development fund; operational team still building out; strong pipeline of 220 units
18,Grid Forward Clean Energy,Clean Energy / Grid,Venture Capital (Series A),$600K,PRI,8,8,8,24,green,"SDG 7, SDG 9, SDG 13",Sub-Saharan Africa,2021,Growth,For-Profit,Utility-scale and mini-grid solutions; 18 MW deployed serving 42000 people
